dimension_id,dimension,description,score_1,score_3,score_5,review_notes
RUB-001,Factual accuracy,Correctness of financial institutional and macroeconomic facts,Frequent factual errors,Mostly correct with some omissions,Accurate terminology dates institutions and relationships,
RUB-002,Evidence grounding,Whether claims are supported by retrieved sources,Unsupported claims appear often,Some claims are supported,All key claims are tied to evidence,
RUB-003,Citation precision,Whether citations map to the right source passages,Citations are missing or wrong,Citations are broad but relevant,Citations point to precise source sections,
RUB-004,Reasoning quality,Transparency and coherence of reasoning,Reasoning is unclear or circular,Reasoning is understandable but incomplete,Assumptions and logic are explicit,
RUB-005,Domain relevance,Usefulness for finance and macro research,Generic answer with little domain value,Relevant but not specialized,Directly useful for financial research,
RUB-006,Risk awareness,Recognition of limitations and failure modes,No limitations discussed,Some limitations mentioned,Data model and policy risks are clearly identified,
RUB-007,Numerical discipline,Handling of numbers dates units and revisions,Invents or misreads numbers,Mostly preserves numbers,Precisely handles units dates revisions and source definitions,
RUB-008,Uncertainty handling,Appropriate expression of confidence and uncertainty,Overconfident unsupported claims,Some caveats included,Uncertainty is calibrated and clearly stated,
RUB-009,Policy sensitivity,Appropriate language for policy research contexts,Overstates policy implications,Separates facts and suggestions partly,Clearly separates evidence interpretation and recommendation,
RUB-010,Reproducibility,Ability to trace the workflow,No traceable process,Some source or prompt information retained,Source metadata retrieval logic and prompt version are traceable,
RUB-011,Audit trail quality,Quality of logs and review evidence,No logs or source IDs,Partial log available,Complete retrieval log source IDs and reviewer notes,
RUB-012,Robustness,Stability under prompt and source variation,Highly unstable outputs,Moderately stable,Consistent conclusions under reasonable variations,
RUB-013,Data limitation awareness,Awareness of coverage bias and data quality,Ignores data limitations,Notes obvious gaps,Discusses coverage lag bias revisions and measurement limits,
RUB-014,Communication,Clarity and professionalism of output,Verbose or unclear,Readable but uneven,Concise professional and research-ready,
RUB-015,Actionability,Whether output supports next research step,No clear next step,Some next steps suggested,Clear actionable research or policy follow-up,
