paper_id,title,year,authors,model_family,financial_domain,task_type,data_source,evaluation_method,key_contribution,limitations,notes
FLLM-001,A Survey of Financial Large Language Models,2026,Yue Dai,survey,finance,general taxonomy,public literature,literature review,Organizes financial LLM research from domain adaptation to agentic financial intelligence,,Initial public entry
FLLM-002,Domain-adapted financial LLM placeholder,,,domain adaptation,financial text understanding,text classification,public financial corpora,benchmark accuracy,Tracks adaptation methods for finance-specific language,,Add paper metadata
FLLM-003,Financial RAG systems placeholder,,,retrieval augmented generation,macroeconomic research,research memo generation,central bank reports and public policy documents,citation precision and answer faithfulness,Connects public-source retrieval with macro research output,,Add paper metadata
FLLM-004,Financial agent workflow placeholder,,,agent system,investment research,multi-step research automation,public filings news and research metadata,task completion and auditability,Evaluates agent design for research workflows,,Add paper metadata
FLLM-005,Financial reasoning benchmark placeholder,,,benchmarking,financial markets,numerical and textual reasoning,public benchmark datasets,reasoning accuracy and calibration,Compares financial reasoning capabilities across models,,Add paper metadata
FLLM-006,Risk and compliance LLM placeholder,,,instruction tuning,risk management,compliance analysis,public regulations and disclosures,expert review and error taxonomy,Assesses regulatory and risk-control use cases,,Add paper metadata
FLLM-007,Market sentiment LLM placeholder,,,text understanding,financial markets,sentiment and event extraction,public news and announcements,F1 and event-level precision,Maps financial text to market-relevant signals,,Add paper metadata
FLLM-008,Central-bank document LLM placeholder,,,retrieval augmented generation,central banking,policy document analysis,public central bank reports,citation quality and policy relevance,Supports policy research and central-bank text analysis,,Add paper metadata
FLLM-009,Evaluation and model-risk placeholder,,,evaluation,financial AI governance,model risk assessment,public evaluation cases,risk rubric and human review,Documents limitations and governance needs,,Add paper metadata
FLLM-010,Multimodal financial LLM placeholder,,,multimodal model,alternative data,document and image reasoning,public images tables and text,task-specific scoring,Links multimodal data to finance research tasks,,Add paper metadata
FLLM-011,Financial report analysis placeholder,,,instruction tuning,corporate finance,annual report analysis,public annual reports,expert rubric and extraction accuracy,Studies long-document financial report understanding,,Add paper metadata
FLLM-012,Earnings call analysis placeholder,,,retrieval augmented generation,equity research,sentiment and guidance extraction,public earnings call transcripts,event-level precision,Extracts management tone guidance and risk discussion,,Add paper metadata
FLLM-013,Bond market research assistant placeholder,,,agent workflow,fixed income,research memo drafting,public bond market reports,citation quality and expert review,Supports fixed-income research and risk narratives,,Add paper metadata
FLLM-014,Fund research LLM placeholder,,,RAG,asset management,fund document understanding,public fund reports and prospectuses,answer faithfulness and compliance checks,Analyzes fund strategy risk and disclosure text,,Add paper metadata
FLLM-015,Derivatives documentation LLM placeholder,,,legal NLP,derivatives,contract clause extraction,public documentation and examples,clause-level precision,Tests structured extraction from derivatives-related documents,,Add paper metadata
FLLM-016,Macro policy RAG placeholder,,,retrieval augmented generation,macroeconomic policy,policy memo generation,central bank speeches and reports,citation precision,Generates evidence-grounded macro policy memos,,Add paper metadata
FLLM-017,Financial knowledge graph LLM placeholder,,,knowledge augmented LLM,financial institutions,entity relation extraction,public disclosures and reports,entity and relation F1,Builds structured financial knowledge representations,,Add paper metadata
FLLM-018,Multilingual financial LLM placeholder,,,multilingual model,cross-border finance,translation and cross-lingual QA,public multilingual financial documents,human evaluation,Supports global financial research across languages,,Add paper metadata
FLLM-019,LLM for risk early warning placeholder,,,classification,risk management,early-warning signal extraction,public risk disclosures,precision recall and calibration,Maps text signals to risk monitoring tasks,,Add paper metadata
FLLM-020,Financial hallucination benchmark placeholder,,,evaluation,financial AI governance,hallucination detection,public QA and synthetic cases,hallucination rate,Measures factuality risks in finance-specific answers,,Add paper metadata
FLLM-021,Agentic investment research placeholder,,,agent system,investment research,multi-agent report generation,public filings and macro reports,end-to-end task review,Coordinates retrieval analysis drafting and review agents,,Add paper metadata
FLLM-022,Financial table reasoning placeholder,,,table reasoning,financial statements,numerical reasoning,public financial tables,numerical accuracy,Tests model ability to reason over financial tables,,Add paper metadata
FLLM-023,ESG and climate finance LLM placeholder,,,domain adaptation,green finance,ESG text analysis,public ESG reports and climate disclosures,classification accuracy and expert review,Analyzes sustainability and green finance disclosures,,Add paper metadata
FLLM-024,Central-bank communication LLM placeholder,,,text analysis,central banking,speech and minutes analysis,public speeches minutes and reports,theme consistency,Maps policy communication and expectation management,,Add paper metadata
FLLM-025,RegTech LLM placeholder,,,regulatory NLP,financial regulation,rule interpretation and compliance QA,public regulations and guidelines,expert legal review,Supports public regulatory text analysis,,Add paper metadata
FLLM-026,Financial education LLM placeholder,,,dialogue model,financial literacy,question answering,public educational materials,safety and factuality review,Studies user-facing financial education and risk warnings,,Add paper metadata
FLLM-027,Market microstructure LLM placeholder,,,domain RAG,market microstructure,research note synthesis,public market microstructure papers,citation and conceptual accuracy,Connects text research with market microstructure topics,,Add paper metadata
FLLM-028,Alternative data research LLM placeholder,,,multimodal RAG,alternative data,methodology synthesis,public remote sensing and alternative data papers,expert review,Summarizes methods for alternative data in finance,,Add paper metadata
FLLM-029,Financial model governance LLM placeholder,,,governance framework,model risk,policy and governance analysis,public AI governance frameworks,rubric-based review,Organizes model-risk and governance requirements,,Add paper metadata
FLLM-030,Open financial LLM evaluation suite placeholder,,,benchmarking,finance,general evaluation,public prompts and synthetic tasks,multi-dimensional rubric,Creates standardized evaluation tasks for financial LLMs,,Add paper metadata
